danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pop,rock,metal,folk,indie,dance,alternative,mellow,rap,neo,punk,teen,grunge,wave,Angry,Sad,Relaxed,Happy
0.442,0.941,0.3636363636363637,1.0799734394706275,1.0,0.231,0.000682,0.00034700000000000003,0.32299999999999995,0.863,188.066,-1.1889779989406688,0.75,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0
0.446,0.915,0.9090909090909092,1.1740278066129508,0.0,0.0639,0.000628,7.509999999999998e-05,0.0619,0.647,168.11900000000003,-1.354444156061115,0.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0
0.407,0.98,0.4545454545454545,1.0834204581617073,0.0,0.0896,0.00111,0.000387,0.103,0.344,133.326,-1.134329383980386,0.75,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.66,0.831,0.3636363636363637,0.006965764061606059,1.0,0.0557,0.204,0.0,0.736,0.43,105.32,0.2090482561666637,0.75,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.336,0.368,0.7272727272727273,-0.9035396016250756,0.0,0.0401,0.8270000000000001,0.0,0.281,0.498,76.646,-0.0009366093611007707,0.75,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0
0.426,0.894,0.7272727272727273,0.37530433276557496,1.0,0.174,0.0125,0.00041,0.187,0.63,108.725,-1.1541595436272982,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
0.362,0.961,0.18181818181818185,0.6301375002846977,1.0,0.0857,0.024,9.35e-06,0.159,0.491,164.019,-1.3667884304413178,0.75,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.46,0.575,0.3636363636363637,0.6830738587548536,1.0,0.0287,0.00663,0.0,0.205,0.0781,108.867,-0.12983264706603215,0.75,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1.0,0.0,0.0,0.0
0.534,0.8140000000000001,0.8181818181818182,0.8559172245504326,1.0,0.0333,8.070000000000001e-05,2.51e-05,0.111,0.373,126.002,-0.023840443753284733,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
0.526,0.975,0.09090909090909093,1.0760339895379647,0.0,0.078,0.000404,1.77e-06,0.3,0.4270000000000001,102.99,-0.6553318777092139,0.75,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0
